instance,algorithm,run_id,best_cost,decades,seed
berlin52,SBA,0,8920.0,260,4720039
berlin52,SBA,1,8915.0,260,4720056
berlin52,SBA,2,8784.0,260,4720073
berlin52,EA,0,8478.0,260,4720098
berlin52,EA,1,8178.0,260,4720115
berlin52,EA,2,8641.0,260,4720132
berlin52,ICA,0,8980.0,260,4720083
berlin52,ICA,1,8980.0,260,4720100
berlin52,ICA,2,8980.0,260,4720117
eil51,SBA,0,506.0,255,3219039
eil51,SBA,1,503.0,255,3219056
eil51,SBA,2,511.0,255,3219073
eil51,EA,0,453.0,255,3219098
eil51,EA,1,456.0,255,3219115
eil51,EA,2,458.0,255,3219132
eil51,ICA,0,511.0,255,3219083
eil51,ICA,1,511.0,255,3219100
eil51,ICA,2,511.0,255,3219117
